"long","lat","channel_nu"
-121.575735047,37.862914360134,257
-121.536642808944,37.9404738685818,258
-121.556398077199,37.9405291462476,259
-121.725429103015,38.0217460381729,260
-121.622944626814,37.9840394769725,261
-121.621492313874,38.0035510398095,262
-121.626401422532,38.0029199696758,263
-121.595129739936,38.0255361471678,264
-121.611514778714,38.0149687303154,265
-121.621076180134,38.0115197488142,266
-121.620827654273,38.0116872940893,267
-121.61556849193,38.0307157161562,268
-121.638412169937,38.0467462240889,269
-121.657500785714,38.0535225492665,270
-121.663027942507,38.0277565430572,271
-121.660295819164,38.0427467042671,272
-121.669328316695,38.0127563522604,274
-121.69476295578,38.0266751897257,275
-121.593148637319,38.0636035800215,276
-121.621411116443,38.0608709676272,277
-121.636675742387,38.0533480599235,278
-121.659931794206,38.0567505395777,279
-121.647772421182,38.0730660642491,280
-121.794644301296,38.0508081990008,281
-121.772425575444,38.0276680175658,283
-121.770991431724,38.0282498945706,284
-121.832930900672,38.0355286240072,285
-121.837359290619,38.0553769899885,286
-121.843254195352,38.0272349401944,287
-121.870499952091,38.0328170252567,288
-121.8631183985,38.0584246755138,290
-121.875639761975,38.0505971457677,291
-121.860452200256,38.0546095097929,292
-121.864285387125,38.0511420505446,293
-121.87149175147,38.0464321143786,294
-121.825127166956,38.0428750247972,295
-121.808256185586,38.0459311590189,296
-121.797729691129,38.0438338277833,297
-121.784482342707,38.0292965641321,299
-121.794814445102,38.0234706071209,300
-121.809225157446,38.0458135182703,301
-121.615115889572,38.1124503774085,307
-121.660381141568,38.1201552481884,308
-121.69381967324,38.1074156367963,309
-121.685906576367,38.0987538734896,310
-121.403676870514,38.0041945326265,312
-121.446752374913,38.0451572857599,313
-121.470362974578,38.0469278141599,314
-121.470575192236,38.0345542391994,315
-121.486418771038,38.0375922997923,316
-121.418260632732,38.0680625451244,317
-121.459260884848,38.0577089915448,318
-121.499854797036,38.0619938124134,319
-121.440609593877,38.0829447040028,320
-121.466283892364,38.074764066158,321
-121.48579438688,38.0914142767571,322
-121.499124728617,38.1070922525589,323
-121.49336727562,38.0985391513932,324
-121.502544466827,38.0836653403864,325
-121.509689044554,38.07981366334,326
-121.53314969341,38.0897376189948,327
-121.552228459594,38.0855326321675,328
-121.496550594339,38.2576666340048,329
-121.497768207787,38.2479126147788,330
-121.49700519953,38.2396053584429,331
-121.495856460393,38.2328988762628,333
-121.457486015969,38.2571464503691,334
-121.492647342278,38.2230193519882,337
-121.482700485871,38.207383106875,338
-121.497655813604,38.1768805943862,340
-121.498986646285,38.1617119041701,341
-121.510762812762,38.1468417186236,342
-121.503525335075,38.1373664590966,343
-121.496994500379,38.1252151959771,344
-121.509181887148,38.1184434224202,345
-121.532720107662,38.119940263136,346
-121.561614925203,38.1279224775112,347
-121.58120906811,38.1235063521094,348
-121.565705367483,38.1030522809426,349
-121.466386338673,38.1955474255679,351
-121.444451416163,38.1726095333806,352
-121.480264783497,38.1651873757532,353
-121.443683853569,38.1434547687782,354
-121.488458572083,38.1413487410906,355
-121.499345846261,38.2274684156799,356
-121.506685616833,38.2187422593847,357
-121.508282523628,38.2082945710737,358
-121.517323167756,38.2029296581542,359
-121.526458513362,38.1894443606079,360
-121.524463948236,38.1735017984151,361
-121.534141955834,38.1597161082979,362
-121.546669204783,38.147884244319,363
-121.558046273493,38.136771120603,364
-121.518614458857,38.2346123563343,366
-121.530660322923,38.2274198105276,367
-121.543182816965,38.2176856540592,368
-121.54104269045,38.2055133261972,369
-121.559696598939,38.1875082579411,370
-121.580553699797,38.1754256594148,371
-121.592131363812,38.1546619584751,372
-121.593695555206,38.151139895619,373
-121.590004227329,38.1320895894231,374
-121.536590880998,38.4087675154883,375
-121.540484412635,38.385868455563,376
-121.55296190746,38.3707466958797,377
-121.573437531054,38.3533796450966,378
-121.579669614055,38.330137097689,379
-121.590329710118,38.3224344365976,380
-121.599851713254,38.3020073656506,381
-121.604012124903,38.270163817173,382
-121.583368853956,38.2906206276732,383
-121.587678218477,38.2653108806738,384
-121.6020954569,38.2418009148248,385
-121.611299319278,38.2014395677125,386
-121.65247715558,38.1838278039736,387
-121.622992862347,38.2908619136769,388
-121.640634696257,38.2799891313422,389
-121.655976594376,38.2534309065756,390
-121.557180882967,38.5612046863921,391
-121.584633511676,38.5097146181463,392
-121.584576294567,38.4715277626532,393
-121.624719164945,38.3846972319629,394
-121.64293710764,38.3458961698358,395
-121.667963930418,38.2540002978207,397
-121.657180209782,38.2007337505642,398
-121.66708027672,38.3082493701955,399
-121.67020888732,38.2621515852459,400
-121.692810111684,38.2985188784968,401
-121.70909397776,38.2770808611606,402
-121.687607843282,38.2534290294846,403
-121.686083117487,38.240852276213,404
-121.677669642045,38.2341563469135,405
-121.794462801116,38.272235889813,406
-121.758567874198,38.2590712166947,407
-121.737816088881,38.2564270565442,408
-121.70921458642,38.2463203097196,409
-121.516751235842,38.570998418249,410
-121.527568072587,38.5322869369291,411
-121.539349359327,38.5168394462429,412
-121.54728767849,38.4812232634733,413
-121.504572791626,38.4675233775598,414
-121.511941553403,38.4355136072982,415
-121.524100071751,38.4179322248658,416
-121.52357944287,38.3803635309099,417
-121.556517686214,38.3441348309003,418
-121.577829714122,38.3156362331341,419
-121.555827783707,38.2866472454408,420
-121.515196434447,38.2559642144903,421
-121.514242828867,38.2429367137022,422
-121.532180004934,38.2383028437222,423
-121.556594704365,38.2222900730681,424
-121.56454285977,38.1934789649717,426
-121.593593337488,38.1721066483092,427
-121.627334944608,38.166845796562,428
-121.655916959425,38.1747443804783,429
-121.683839473543,38.1570026776651,430
-121.694881520122,38.1262396850142,431
-121.741107280464,38.0873349713962,433
-121.780699761794,38.0675992607648,434
-121.827942172905,38.065310854465,435
-122.001328319507,38.0655157466562,438
-122.056222553577,38.066138807327,439
-122.100172973272,38.0579773276009,440
-122.137161193387,38.0336877019407,441
-121.90895310017,38.0617372968381,442
-121.970077490662,38.0590070529027,443
-121.995925855487,38.0660889234304,444
-122.032150418731,38.0793840870755,445
-122.017608552309,38.0923623634508,447
-122.042484336374,38.1117955805312,448
-122.042484336374,38.1117955805312,449
-121.986973018713,38.0694484950121,450
-122.099734179545,38.0778308982945,451
-122.053552827746,38.065482136005,452
-122.099734179545,38.0778308982945,453
-122.097861443452,38.0755223706641,454
-122.131119707087,38.2140514227242,455
-122.125343511824,38.2100830399372,456
